datatype;member;accesstype;rule;comment;origin
inode;i_count;w;EMBSAME\(i_lock\);;fs/inode.c:1535
inode;i_lru;r;EMBSAME\(i_lock\);;fs/inode.c:413,fs/inode.c:27
inode;i_lru;w;EMBSAME\(i_lock\);;fs/inode.c:413,fs/inode.c:27
inode;i_size;r;nolock;;include/linux/fs.h:765,include/linux/fs.h:591
inode;i_size;w;EMBSAME\(i_rwsem\);core-read,uncertain;include/linux/fs.h:765,include/linux/fs.h:591
inode;i_mode;r;nolock;;code-read
inode;i_mode;w;EMBSAME\(i_rwsem\);;fs/open.c:538,fs/open.c:63
inode;i_private;r;nolock;ro-member;
inode;i_private;w;nolock;ro-member;
inode;i_data.private_data;r;nolock;ro-member;
inode;i_data.private_data;w;nolock;ro-member;
inode;i_data.private_list;r;nolock;ro-member;
inode;i_data.private_list;w;nolock;ro-member;
inode;i_opflags;w;EMBSAME\(i_lock\);code-read;fs/namei.c:387
inode;i_opflags;r;nolock;code-read;fs/namei.c:387
inode;i_uid;r;nolock;code-read;
inode;i_uid;r;EMBSAME\(i_rwsem\);code-read;
